"date","code","delta","value"
1997-03-22,RUB,0,0
2002-09-01,USD,11500,11500
2002-09-01,RUB,25000,25000
2002-09-04,RUB,5100,30100
2002-09-07,RUB,-2000,28100
2002-09-08,RUB,-900,27200
2002-09-09,RUB,-14000,13200
2002-09-12,RUB,-1200,12000
2002-09-14,RUB,-440,11560
2002-09-15,RUB,-1120,10440
2002-09-16,RUB,-1300,9140
2002-09-18,RUB,-120,9020
2002-09-19,RUB,-180,8840
2002-09-20,RUB,-240,8600
2002-09-21,RUB,-320,8280
2002-09-22,RUB,-630,7650
2002-09-25,RUB,-100,7550
2002-09-26,RUB,-898,6652
2002-09-30,RUB,-580,6072
2002-10-01,RUB,-160,5912
2002-10-02,RUB,560,6472
2002-10-03,RUB,-100,6372
2002-10-04,RUB,-150,6222
2002-10-05,RUB,-270,5952
2002-10-07,RUB,-1090,4862
2002-10-09,RUB,-100,4762
2002-10-11,RUB,-100,4662
2002-10-14,RUB,-896,3766
2002-10-16,RUB,-200,3566
2002-10-18,USD,800,12300
2002-10-19,USD,-100,12200
2002-10-19,RUB,-432,3134
2002-10-20,RUB,-900,2234
2002-10-24,RUB,-350,1884
2002-10-25,RUB,-547,1337
2002-10-26,RUB,-600,737
2002-10-27,RUB,-380,357
2002-10-28,USD,-100,12100
2002-10-28,RUB,1657.9,2014.9
2002-10-30,RUB,-1014.9,1000.0000000000001
2002-10-31,RUB,1550,2550
2002-11-04,USD,600,12700
2002-11-06,RUB,-862,1688
2002-11-07,USD,-200,12500
2002-11-07,RUB,320,2008
2002-11-08,RUB,-50,1958
2002-11-09,RUB,-223,1735
2002-11-11,RUB,-785,950
2002-11-13,RUB,-250,700
2002-11-14,RUB,-370,330
2002-11-16,USD,-100,12400
2002-11-16,RUB,719,1049
2002-11-17,USD,-100,12300
2002-11-17,RUB,205,1254
2002-11-18,RUB,-1100,154
2002-11-19,RUB,-100,54
2002-11-22,RUB,780,834
2002-11-23,RUB,-548,286
2002-11-24,USD,-100,12200
2002-11-24,RUB,2120,2406
2002-11-26,RUB,-150,2256
2002-11-27,RUB,-300,1956
2002-11-28,RUB,-106,1850
2002-11-30,RUB,-1320,530
2002-12-01,RUB,-330,200
2002-12-02,RUB,-100,100
2002-12-04,RUB,-100,0
2002-12-06,RUB,19525.51,19525.51
2002-12-08,RUB,-500,19025.51
2002-12-09,RUB,-300,18725.51
